2,1,0.803
3,2,0.77
4,3,0.167
5,3,0.049
6,2,0.071
7,1,0.274
8,5,0.044
9,8,0.339
10,8,0.033
11,7,0.897
12,9,0.338
13,4,0.096
14,3,0.099
15,7,0.135
16,14,0.124
17,12,0.133
18,6,0.096
19,12,0.084
20,13,0.231
21,9,0.118
22,11,0.144
23,21,0.362
24,9,0.082
25,24,0.042
26,20,0.107
27,18,0.109
28,26,0.067
29,20,0.117
30,22,0.118
31,14,0.108
32,23,0.072
33,17,0.199
34,20,0.09
35,10,0.047
36,16,0.071
37,19,0.05
38,4,0.078
39,15,0.12
40,23,0.166
41,6,0.051
42,40,0.099
43,29,0.062
44,23,0.036
45,1,0.06
46,37,0.045
47,11,0.019
48,45,0.102
49,7,0.125
50,2,0.109
51,39,0.02
52,40,0.094
53,13,0.071
54,29,0.065
55,15,0.053
56,16,0.016
57,38,0.052
58,15,0.071
59,16,0.071
60,26,0.043
61,19,0.063
62,15,0.085
63,34,0.073
64,35,0.035
65,46,0.059
66,14,0.02
67,50,0.066
68,42,0.067
69,11,0.197
70,64,0.057
71,25,0.122
72,63,0.032
73,23,0.087
74,56,0.064
75,20,0.028
76,4,0.064
77,50,0.06
78,39,0.056
79,29,0.01
80,58,0.049
81,17,0.09
82,67,0.05
83,69,0.037
84,27,0.071
85,27,0.038
86,22,0.073
87,25,0.069
88,12,0.028
89,73,0.059
90,31,0.051
91,54,0.047
92,49,0.038
93,17,0.053
94,52,0.039
95,84,0.054
96,76,0.036
97,2,0.029
98,90,0.046
99,70,0.049
